id.orig_p,id.resp_p,proto,service,flow_duration,fwd_pkts_tot,bwd_pkts_tot,fwd_data_pkts_tot,bwd_data_pkts_tot,fwd_pkts_per_sec,bwd_pkts_per_sec,flow_pkts_per_sec,down_up_ratio,fwd_header_size_tot,fwd_header_size_min,fwd_header_size_max,bwd_header_size_tot,bwd_header_size_min,bwd_header_size_max,flow_FIN_flag_count,flow_SYN_flag_count,flow_RST_flag_count,fwd_PSH_flag_count,bwd_PSH_flag_count,flow_ACK_flag_count,fwd_URG_flag_count,bwd_URG_flag_count,flow_CWR_flag_count,flow_ECE_flag_count,fwd_pkts_payload.min,fwd_pkts_payload.max,fwd_pkts_payload.tot,fwd_pkts_payload.avg,fwd_pkts_payload.std,bwd_pkts_payload.min,bwd_pkts_payload.max,bwd_pkts_payload.tot,bwd_pkts_payload.avg,bwd_pkts_payload.std,flow_pkts_payload.min,flow_pkts_payload.max,flow_pkts_payload.tot,flow_pkts_payload.avg,flow_pkts_payload.std,fwd_iat.min,fwd_iat.max,fwd_iat.tot,fwd_iat.avg,fwd_iat.std,bwd_iat.min,bwd_iat.max,bwd_iat.tot,bwd_iat.avg,bwd_iat.std,flow_iat.min,flow_iat.max,flow_iat.tot,flow_iat.avg,flow_iat.std,payload_bytes_per_second,fwd_subflow_pkts,bwd_subflow_pkts,fwd_subflow_bytes,bwd_subflow_bytes,fwd_bulk_bytes,bwd_bulk_bytes,fwd_bulk_packets,bwd_bulk_packets,fwd_bulk_rate,bwd_bulk_rate,active.min,active.max,active.tot,active.avg,active.std,idle.min,idle.max,idle.tot,idle.avg,idle.std,fwd_init_window_size,bwd_init_window_size,fwd_last_window_size,Attack_type,Attack_Type
51312,80,tcp,http,0.000181,8,0,2,0,44150.56842,0,44150.56842,0,260,20,40,0,0,0,1,2,1,2,0,6,0,0,0,0,0,126,212,26.5,50.219518,0,0,0,0,0,0,126,212,26.5,50.219518,5.960464,115.871429,181.19812,25.885446,40.69302,0,0,0,0,0,5.960464,115.871429,181.19812,25.885446,40.69302,1169990.063,8,0,212,0,0,0,0,0,0,0,181.19812,181.19812,181.19812,181.19812,0,0,0,0,0,0,65476,0,0,DDOS_Slowloris,1
51314,80,tcp,http,0.000536,8,0,2,0,14926.34875,0,14926.34875,0,260,20,40,0,0,0,1,2,1,2,0,6,0,0,0,0,0,126,212,26.5,50.219518,0,0,0,0,0,0,126,212,26.5,50.219518,20.027161,318.050385,535.964966,76.566424,109.271289,0,0,0,0,0,20.027161,318.050385,535.964966,76.566424,109.271289,395548.242,8,0,212,0,0,0,0,0,0,0,535.964966,535.964966,535.964966,535.964966,0,0,0,0,0,0,65476,0,0,DDOS_Slowloris,1
51316,80,tcp,http,0.000551,8,0,2,0,14519.44267,0,14519.44267,0,260,20,40,0,0,0,1,2,1,2,0,6,0,0,0,0,0,126,212,26.5,50.219518,0,0,0,0,0,0,126,212,26.5,50.219518,20.027161,325.918198,550.985336,78.712191,111.738679,0,0,0,0,0,20.027161,325.918198,550.985336,78.712191,111.738679,384765.2306,8,0,212,0,0,0,0,0,0,0,550.985336,550.985336,550.985336,550.985336,0,0,0,0,0,0,65476,0,0,DDOS_Slowloris,1
51318,80,tcp,http,0.000546,8,0,2,0,14652.59039,0,14652.59039,0,260,20,40,0,0,0,1,2,1,2,0,6,0,0,0,0,0,126,212,26.5,50.219518,0,0,0,0,0,0,126,212,26.5,50.219518,20.980835,331.163406,545.978546,77.996935,114.158061,0,0,0,0,0,20.980835,331.163406,545.978546,77.996935,114.158061,388293.6454,8,0,212,0,0,0,0,0,0,0,545.978546,545.978546,545.978546,545.978546,0,0,0,0,0,0,65476,0,0,DDOS_Slowloris,1
51320,80,tcp,http,0.000539,8,0,2,0,14840.5272,0,14840.5272,0,260,20,40,0,0,0,1,2,1,2,0,6,0,0,0,0,0,126,212,26.5,50.219518,0,0,0,0,0,0,126,212,26.5,50.219518,20.027161,320.911407,539.064407,77.009201,110.225562,0,0,0,0,0,20.027161,320.911407,539.064407,77.009201,110.225562,393273.9708,8,0,212,0,0,0,0,0,0,0,539.064407,539.064407,539.064407,539.064407,0,0,0,0,0,0,65476,0,0,DDOS_Slowloris,1
51322,80,tcp,http,0.000564,8,0,2,0,14187.92051,0,14187.92051,0,260,20,40,0,0,0,1,2,1,2,0,6,0,0,0,0,0,126,212,26.5,50.219518,0,0,0,0,0,0,126,212,26.5,50.219518,20.027161,344.991684,563.85994,80.55142,119.062765,0,0,0,0,0,20.027161,344.991684,563.85994,80.55142,119.062765,375979.8934,8,0,212,0,0,0,0,0,0,0,563.85994,563.85994,563.85994,563.85994,0,0,0,0,0,0,65476,0,0,DDOS_Slowloris,1
51324,80,tcp,http,0.000252,8,0,2,0,31744.96878,0,31744.96878,0,260,20,40,0,0,0,1,2,1,2,0,6,0,0,0,0,0,126,212,26.5,50.219518,0,0,0,0,0,0,126,212,26.5,50.219518,8.106232,154.018402,252.008438,36.001205,53.328894,0,0,0,0,0,8.106232,154.018402,252.008438,36.001205,53.328894,841241.6727,8,0,212,0,0,0,0,0,0,0,252.008438,252.008438,252.008438,252.008438,0,0,0,0,0,0,65476,0,0,DDOS_Slowloris,1
51326,80,tcp,http,0.000518,8,0,2,0,15441.52416,0,15441.52416,0,260,20,40,0,0,0,1,2,1,2,0,6,0,0,0,0,0,126,212,26.5,50.219518,0,0,0,0,0,0,126,212,26.5,50.219518,21.934509,294.923782,518.083572,74.011939,100.448368,0,0,0,0,0,21.934509,294.923782,518.083572,74.011939,100.448368,409200.3902,8,0,212,0,0,0,0,0,0,0,518.083572,518.083572,518.083572,518.083572,0,0,0,0,0,0,65476,0,0,DDOS_Slowloris,1
51328,80,tcp,http,0.000513,8,0,2,0,15592.20818,0,15592.20818,0,260,20,40,0,0,0,1,2,1,2,0,6,0,0,0,0,0,126,212,26.5,50.219518,0,0,0,0,0,0,126,212,26.5,50.219518,19.073486,300.884247,513.076782,73.296683,103.196956,0,0,0,0,0,19.073486,300.884247,513.076782,73.296683,103.196956,413193.5167,8,0,212,0,0,0,0,0,0,0,513.076782,513.076782,513.076782,513.076782,0,0,0,0,0,0,65476,0,0,DDOS_Slowloris,1
51330,80,tcp,http,0.000168,8,0,2,0,47594.93901,0,47594.93901,0,260,20,40,0,0,0,1,2,1,2,0,6,0,0,0,0,0,126,212,26.5,50.219518,0,0,0,0,0,0,126,212,26.5,50.219518,5.00679,108.003616,168.085098,24.012157,37.902984,0,0,0,0,0,5.00679,108.003616,168.085098,24.012157,37.902984,1261265.884,8,0,212,0,0,0,0,0,0,0,168.085098,168.085098,168.085098,168.085098,0,0,0,0,0,0,65476,0,0,DDOS_Slowloris,1
