id.orig_p,id.resp_p,proto,service,flow_duration,fwd_pkts_tot,bwd_pkts_tot,fwd_data_pkts_tot,bwd_data_pkts_tot,fwd_pkts_per_sec,bwd_pkts_per_sec,flow_pkts_per_sec,down_up_ratio,fwd_header_size_tot,fwd_header_size_min,fwd_header_size_max,bwd_header_size_tot,bwd_header_size_min,bwd_header_size_max,flow_FIN_flag_count,flow_SYN_flag_count,flow_RST_flag_count,fwd_PSH_flag_count,bwd_PSH_flag_count,flow_ACK_flag_count,fwd_URG_flag_count,bwd_URG_flag_count,flow_CWR_flag_count,flow_ECE_flag_count,fwd_pkts_payload.min,fwd_pkts_payload.max,fwd_pkts_payload.tot,fwd_pkts_payload.avg,fwd_pkts_payload.std,bwd_pkts_payload.min,bwd_pkts_payload.max,bwd_pkts_payload.tot,bwd_pkts_payload.avg,bwd_pkts_payload.std,flow_pkts_payload.min,flow_pkts_payload.max,flow_pkts_payload.tot,flow_pkts_payload.avg,flow_pkts_payload.std,fwd_iat.min,fwd_iat.max,fwd_iat.tot,fwd_iat.avg,fwd_iat.std,bwd_iat.min,bwd_iat.max,bwd_iat.tot,bwd_iat.avg,bwd_iat.std,flow_iat.min,flow_iat.max,flow_iat.tot,flow_iat.avg,flow_iat.std,payload_bytes_per_second,fwd_subflow_pkts,bwd_subflow_pkts,fwd_subflow_bytes,bwd_subflow_bytes,fwd_bulk_bytes,bwd_bulk_bytes,fwd_bulk_packets,bwd_bulk_packets,fwd_bulk_rate,bwd_bulk_rate,active.min,active.max,active.tot,active.avg,active.std,idle.min,idle.max,idle.tot,idle.avg,idle.std,fwd_init_window_size,bwd_init_window_size,fwd_last_window_size,Attack_type,Attack_Type
54610,80,tcp,http,0.575884,6,5,1,1,10.418763,8.682303,19.101066,0.833333,200,32,40,168,32,40,2,2,0,1,1,10,0,0,0,0,0,87,87,14.5,35.517601,0,148,148,29.6,66.187612,0,148,235,21.363636,49.449515,185.966492,289499.0444,575906.992,115181.3984,157368.2012,509.977341,285328.8651,571146.0114,142786.5028,164232.0618,22.888184,289440.155,860586.1664,86058.61664,138255.1365,408.068218,6,5,87,148,0,0,0,0,0,0,860586.1664,860586.1664,860586.1664,860586.1664,0,0,0,0,0,0,64240,64768,501,NMAP_FIN_SCAN,1
50877,53,udp,dns,0.042745,2,2,2,2,46.789235,46.789235,93.57847,1,16,8,8,16,8,8,0,0,0,0,0,0,0,0,0,0,58,58,116,58,0,58,90,148,74,22.627417,58,90,264,66,16,30.994415,30.994415,30.994415,30.994415,0,40308.95233,40308.95233,40308.95233,40308.95233,0,30.994415,40308.95233,42744.87495,14248.29165,22600.38532,6176.179022,2,2,116,148,0,0,0,0,0,0,42744.87495,42744.87495,42744.87495,42744.87495,0,0,0,0,0,0,0,0,0,NMAP_FIN_SCAN,1
57535,53,udp,dns,0.001298,1,1,1,1,770.445261,770.445261,1540.890522,1,8,8,8,8,8,8,0,0,0,0,0,0,0,0,0,0,58,58,58,58,0,90,90,90,90,0,58,90,148,74,22.627417,0,0,0,0,0,0,0,0,0,0,1297.950745,1297.950745,1297.950745,1297.950745,0,114025.8986,1,1,58,90,0,0,0,0,0,0,1297.950745,1297.950745,1297.950745,1297.950745,0,0,0,0,0,0,0,0,0,NMAP_FIN_SCAN,1
33781,53,udp,dns,0.041273,1,1,1,1,24.228846,24.228846,48.457692,1,8,8,8,8,8,8,0,0,0,0,0,0,0,0,0,0,58,58,58,58,0,122,122,122,122,0,58,122,180,90,45.254834,0,0,0,0,0,0,0,0,0,0,41273.11707,41273.11707,41273.11707,41273.11707,0,4361.192292,1,1,58,122,0,0,0,0,0,0,41273.11707,41273.11707,41273.11707,41273.11707,0,0,0,0,0,0,0,0,0,NMAP_FIN_SCAN,1
47630,22,tcp,-,0,1,0,0,0,0,0,0,0,20,20,20,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1024,0,1024,NMAP_FIN_SCAN,1
47631,22,tcp,-,0,1,0,0,0,0,0,0,0,20,20,20,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1024,0,1024,NMAP_FIN_SCAN,1
65012,22,tcp,-,0,1,0,0,0,0,0,0,0,20,20,20,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1024,0,1024,NMAP_FIN_SCAN,1
65013,22,tcp,-,0,1,0,0,0,0,0,0,0,20,20,20,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1024,0,1024,NMAP_FIN_SCAN,1
53043,22,tcp,-,0,1,0,0,0,0,0,0,0,20,20,20,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1024,0,1024,NMAP_FIN_SCAN,1
53044,22,tcp,-,0,1,0,0,0,0,0,0,0,20,20,20,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1024,0,1024,NMAP_FIN_SCAN,1
