Header_Length,Protocol Type,Duration,Rate,Srate,Drate,fin_flag_number,syn_flag_number,rst_flag_number,psh_flag_number,ack_flag_number,ece_flag_number,cwr_flag_number,ack_count,syn_count,fin_count,rst_count,HTTP,HTTPS,DNS,Telnet,SMTP,SSH,IRC,TCP,UDP,DHCP,ARP,ICMP,IGMP,IPv,LLC,Tot sum,Min,Max,AVG,Std,Tot size,IAT,Number,Magnitue,Radius,Covariance,Variance,Weight,label,attack
3609,17,64,212.9615,212.9615,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,3608,154.8,1228,610,487.5,673,169402750,5.5,34.7,689.5,279086.1,0.9,38.5,ARP_Spoofing_test,1
9531.4,17,64,442.95444,442.95444,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,9530,118,1414,620,511.5,500.5,169402750,13.5,35.2,725,264633.9,1,244.6,ARP_Spoofing_test,1
6372.4,11.5,64,28457.582,28457.582,0,0,0,0,0.3,0.5,0,0,0,0,0,0.7,0,0,0,0,0,0,0,0.5,0.5,0,0,0,0,1,1,1380,117.8,486,279.2,176,201.5,0.008456493,5.5,23.44,248.9,34444.027,0.9,38.5,ARP_Spoofing_test,1
129.2,6,64,105851.14,105851.14,0,0,0,0,0.5,1,0,0,0,0,0,1.5,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,2458,66,486,161.2,162,81.3,169402750,13.5,17.95,229.5,26471.574,1,244.6,ARP_Spoofing_test,1
12130.7,14.8,81.4,4896.846,4896.846,0,0,0,0,0.1,0.2,0,0,0,0,0,0.3,0,0.1,0,0,0,0,0,0.2,0.8,0,0,0,0,1,1,1740,66,453.5,291.8,159.6,326,0.011578584,5.5,23.75,225.8,28511.559,0.9,38.5,ARP_Spoofing_test,1
7038.8,6.8,25.6,125.60344,125.60344,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4,0,0.6,0,0,0.4,0.4,4200,44.4,694,275.5,216.4,210.6,169402750,13.5,23.39,306,46819.254,1,244.6,ARP_Spoofing_test,1
17802.9,17,64,99.890144,99.890144,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1602,86,426.8,261.5,147.1,319,0.017056298,5.5,22.58,208,24176.441,0.9,38.5,ARP_Spoofing_test,1
20687.7,15.9,81.4,80.92864,80.92864,0,0,0,0,0,0.1,0,0,0,0,0,0.2,0,0.1,0,0,0,0,0,0.1,0.9,0,0,0,0,1,1,4830,74,486,311.5,166.4,330.5,169402750,13.5,24.94,235.8,27822.785,1,244.6,ARP_Spoofing_test,1
20857.5,14.8,64,67.8462,67.8462,0,0,0,0,0.1,0.2,0,0,0,0,0,0.7,0,0.2,0,0,0,0,0,0.2,0.8,0,0,0,0,1,1,1400,108,486,265,165.4,300.8,0.013768911,5.5,22.78,233.9,30529.87,0.9,38.5,ARP_Spoofing_test,1
29603,17,64,78.53184,78.53184,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,5224,66,639.5,334.5,200.8,409.2,169402750,13.5,25.86,284.5,40511.066,1,244.6,ARP_Spoofing_test,1
33306.2,17,64,75.29876,75.29876,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1828,86,446,308.5,156.4,327.5,0.014666605,5.5,24.53,221.1,27324.717,0.9,38.5,ARP_Spoofing_test,1
219.4,6,64,15988.184,15988.184,0,0,0,0,0.5,1,0,0,0,0,0,2.7,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,3704,67.8,486,244.9,178.5,78.4,169402750,13.5,22.12,252.8,31941.293,1,244.6,ARP_Spoofing_test,1
219.4,6,64,17147.926,17147.926,0,0,0,0,0.5,1,0,0,0,0,0,2.7,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,447.2,70.5,111,84.94,15.23,78.4,7.93E-05,5.5,13.016,21.53,262.7606,0.9,38.5,ARP_Spoofing_test,1
32968,15.3,57.6,72.79251,72.79251,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9,0,0.1,0,0,0.9,0.9,2836,65.4,563,176.5,165.5,361.8,169402750,13.5,18.72,234.2,28431.715,1,244.6,ARP_Spoofing_test,1
40257,17,64,71.09738,71.09738,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1945,183.6,486,378.2,125.06,324.5,0.016880702,5.5,27.44,176.9,19260.15,0.9,38.5,ARP_Spoofing_test,1
43451.4,17,64,69.91278,69.91278,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,5140,86,486,331.8,161.6,319.5,169402750,13.5,25.8,227.9,25981.855,1,244.6,ARP_Spoofing_test,1
47685.8,17,64,70.37406,70.37406,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,2934,241.2,1086,540.5,328.5,628.5,0.006415582,5.5,32.7,464.5,138987,0.9,38.5,ARP_Spoofing_test,1
54925,17,64,75.70599,75.70599,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,10180,118,1414,651.5,581,766,169402750,13.5,35.97,820.5,336814.5,1,244.6,ARP_Spoofing_test,1
62585,17,64,81.21299,81.21299,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,3888,118,1284,650,577,766,0.000523114,5.5,35.38,816,370193.03,0.9,38.5,ARP_Spoofing_test,1
69816.2,17,64,86.28692,86.28692,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,11120,118,1414,717.5,625,710,169402750,13.5,37.78,883.5,390424.66,1,244.6,ARP_Spoofing_test,1
77345,17,64,91.849915,91.849915,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,3888,118,1284,650,577,766,0.000465298,5.5,35.38,816,370193.03,0.9,38.5,ARP_Spoofing_test,1
85005,17,64,97.39095,97.39095,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,11550,118,1414,743.5,647,766,169402750,13.5,38.47,915,418743.97,1,244.6,ARP_Spoofing_test,1
92393,17,64,102.62911,102.62911,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,3616,105.2,1284,619.5,575,633,0.001804996,5.5,34.56,813.5,367570.1,0.9,38.5,ARP_Spoofing_test,1
99645,17,64,107.240204,107.240204,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,10870,86,1414,699.5,646.5,766,169402750,13.5,37.47,914.5,418122.03,1,244.6,ARP_Spoofing_test,1
107305,17,64,112.15319,112.15319,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,4536,247.6,1414,882,577,766,0.001379585,5.5,41.78,816,370193.03,0.9,38.5,ARP_Spoofing_test,1
114909,17,64,117.01206,117.01206,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,12140,118,1414,785.5,644.5,803,169402750,13.5,39.53,911.5,415338.38,1,244.6,ARP_Spoofing_test,1
120985,17,64,121.73521,121.73521,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,2528,89.2,1155,406,387.5,481.2,0.004208493,5.5,27.73,548,190760.28,0.9,38.5,ARP_Spoofing_test,1
