pkSeqID,stime,flgs,flgs_number,proto,proto_number,saddr,sport,daddr,dport,pkts,bytes,state,state_number,ltime,seq,dur,mean,stddev,sum,min,max,spkts,dpkts,sbytes,dbytes,rate,srate,drate,TnBPSrcIP,TnBPDstIP,TnP_PSrcIP,TnP_PDstIP,TnP_PerProto,TnP_Per_Dport,AR_P_Proto_P_SrcIP,AR_P_Proto_P_DstIP,N_IN_Conn_P_DstIP,N_IN_Conn_P_SrcIP,AR_P_Proto_P_Sport,AR_P_Proto_P_Dport,Pkts_P_State_P_Protocol_P_DestIP,Pkts_P_State_P_Protocol_P_SrcIP,attack,category,subcategory
3595276,1526344333,e,1,tcp,1,192.168.100.150,36663,192.168.100.3,8080,2,120,RST,1,1526344333,108,0.000108,0.000108,0,0.000108,0.000108,0.000108,1,1,60,60,9259.258789,0,0,12660,12660,211,211,211,2,27009.7,27009.7,100,100,22099.4,18518.5,211,211,1,Reconnaissance,Service_Scan
3595277,1526344333,e,1,tcp,1,192.168.100.150,36663,192.168.100.3,554,2,120,RST,1,1526344333,109,0.000107,0.000107,0,0.000107,0.000107,0.000107,1,1,60,60,9345.793945,0,0,12660,12660,211,211,211,2,27009.7,27009.7,100,100,22099.4,18691.6,211,211,1,Reconnaissance,Service_Scan
3595278,1526344333,e,1,tcp,1,192.168.100.150,36663,192.168.100.3,80,3,180,RST,1,1526344333,110,0.00022,0.00022,0,0.00022,0.00022,0.00022,2,1,120,60,9090.90918,4545.45459,0,12660,12660,211,211,211,3,27009.7,27009.7,100,100,22099.4,13636.4,211,211,1,Reconnaissance,Service_Scan
3595279,1526344333,e,1,tcp,1,192.168.100.150,36663,192.168.100.3,443,2,120,RST,1,1526344333,111,0.000131,0.000131,0,0.000131,0.000131,0.000131,1,1,60,60,7633.588379,0,0,12660,12660,211,211,211,2,27009.7,27009.7,100,100,22099.4,15267.2,211,211,1,Reconnaissance,Service_Scan
3595280,1526344333,e,1,tcp,1,192.168.100.150,36663,192.168.100.3,111,2,120,RST,1,1526344333,112,0.00013,0.00013,0,0.00013,0.00013,0.00013,1,1,60,60,7692.307617,0,0,12660,12660,211,211,211,2,27009.7,27009.7,100,100,22099.4,15384.6,211,211,1,Reconnaissance,Service_Scan
3595281,1526344333,e,1,tcp,1,192.168.100.150,36663,192.168.100.3,143,3,180,RST,1,1526344333,113,0.000246,0.000246,0,0.000246,0.000246,0.000246,2,1,120,60,8130.081055,4065.040527,0,12660,12660,211,211,211,3,27009.7,27009.7,100,100,22099.4,12195.1,211,211,1,Reconnaissance,Service_Scan
3595282,1526344333,e,1,tcp,1,192.168.100.150,36663,192.168.100.3,110,3,180,RST,1,1526344333,114,0.000242,0.000242,0,0.000242,0.000242,0.000242,2,1,120,60,8264.462891,4132.231445,0,12660,12660,211,211,211,3,27009.7,27009.7,100,100,22099.4,12396.7,211,211,1,Reconnaissance,Service_Scan
3595283,1526344333,e,1,tcp,1,192.168.100.150,36663,192.168.100.3,3306,3,180,RST,1,1526344333,115,0.000253,0.000253,0,0.000253,0.000253,0.000253,2,1,120,60,7905.138184,3952.569092,0,12660,12660,211,211,211,3,27009.7,27009.7,100,100,22099.4,11857.7,211,211,1,Reconnaissance,Service_Scan
3595284,1526344333,e,1,tcp,1,192.168.100.150,36663,192.168.100.3,23,2,120,RST,1,1526344333,116,0.0001,0.0001,0,0.0001,0.0001,0.0001,1,1,60,60,10000,0,0,12660,12660,211,211,211,2,27009.7,27009.7,100,100,22099.4,20000,211,211,1,Reconnaissance,Service_Scan
3595285,1526344333,e,1,tcp,1,192.168.100.150,36663,192.168.100.3,199,2,120,RST,1,1526344333,117,0.000105,0.000105,0,0.000105,0.000105,0.000105,1,1,60,60,9523.80957,0,0,12660,12660,211,211,211,2,27009.7,27009.7,100,100,22099.4,19047.6,211,211,1,Reconnaissance,Service_Scan
3595286,1526344333,e,1,tcp,1,192.168.100.150,36663,192.168.100.3,1025,2,120,RST,1,1526344333,118,3.70E-05,3.70E-05,0,3.70E-05,3.70E-05,3.70E-05,1,1,60,60,27027.02539,0,0,12660,12660,211,211,211,2,27009.7,27009.7,100,100,22099.4,54054.1,211,211,1,Reconnaissance,Service_Scan
3595287,1526344333,e,1,tcp,1,192.168.100.150,36663,192.168.100.3,139,2,120,RST,1,1526344333,119,2.60E-05,2.60E-05,0,2.60E-05,2.60E-05,2.60E-05,1,1,60,60,38461.53906,0,0,12660,12660,211,211,211,2,27009.7,27009.7,100,100,22099.4,76923.1,211,211,1,Reconnaissance,Service_Scan
3595288,1526344333,e,1,tcp,1,192.168.100.150,36663,192.168.100.3,53,3,180,RST,1,1526344333,120,9.70E-05,9.70E-05,0,9.70E-05,9.70E-05,9.70E-05,2,1,120,60,20618.55664,10309.27832,0,12660,12660,211,211,211,3,27009.7,27009.7,100,100,22099.4,30927.8,211,211,1,Reconnaissance,Service_Scan
3595289,1526344333,e,1,tcp,1,192.168.100.150,36663,192.168.100.3,587,3,180,RST,1,1526344333,121,0.000137,0.000137,0,0.000137,0.000137,0.000137,2,1,120,60,14598.54102,7299.270508,0,12660,12660,211,211,211,3,27009.7,27009.7,100,100,22099.4,21897.8,211,211,1,Reconnaissance,Service_Scan
3595290,1526344333,e,1,tcp,1,192.168.100.150,36663,192.168.100.3,113,2,120,RST,1,1526344333,122,5.70E-05,5.70E-05,0,5.70E-05,5.70E-05,5.70E-05,1,1,60,60,17543.85938,0,0,12660,12660,211,211,211,2,27009.7,27009.7,100,100,22099.4,35087.7,211,211,1,Reconnaissance,Service_Scan
3595291,1526344333,e,1,tcp,1,192.168.100.150,36663,192.168.100.3,995,3,180,RST,1,1526344333,123,0.00012,0.00012,0,0.00012,0.00012,0.00012,2,1,120,60,16666.66797,8333.333984,0,12660,12660,211,211,211,3,27009.7,27009.7,100,100,22099.4,25000,211,211,1,Reconnaissance,Service_Scan
3595292,1526344333,e,1,tcp,1,192.168.100.150,36663,192.168.100.3,1723,2,120,RST,1,1526344333,124,4.10E-05,4.10E-05,0,4.10E-05,4.10E-05,4.10E-05,1,1,60,60,24390.24414,0,0,12660,12660,211,211,211,2,27009.7,27009.7,100,100,22099.4,48780.5,211,211,1,Reconnaissance,Service_Scan
3595293,1526344333,e,1,tcp,1,192.168.100.150,36663,192.168.100.3,1720,2,120,RST,1,1526344333,125,6.60E-05,6.60E-05,0,6.60E-05,6.60E-05,6.60E-05,1,1,60,60,15151.51465,0,0,12660,12660,211,211,211,2,27009.7,27009.7,100,100,22099.4,30303,211,211,1,Reconnaissance,Service_Scan
3595294,1526344333,e,1,tcp,1,192.168.100.150,36663,192.168.100.3,993,3,180,RST,1,1526344333,126,0.000105,0.000105,0,0.000105,0.000105,0.000105,2,1,120,60,19047.61914,9523.80957,0,12660,12660,211,211,211,3,27009.7,27009.7,100,100,22099.4,28571.4,211,211,1,Reconnaissance,Service_Scan
3595295,1526344333,e,1,tcp,1,192.168.100.150,36663,192.168.100.3,445,2,120,RST,1,1526344333,127,6.10E-05,6.10E-05,0,6.10E-05,6.10E-05,6.10E-05,1,1,60,60,16393.44336,0,0,12660,12660,211,211,211,2,27009.7,27009.7,100,100,22099.4,32786.9,211,211,1,Reconnaissance,Service_Scan
3595296,1526344333,e,1,tcp,1,192.168.100.150,36663,192.168.100.3,135,2,120,RST,1,1526344333,128,6.20E-05,6.20E-05,0,6.20E-05,6.20E-05,6.20E-05,1,1,60,60,16129.03223,0,0,12660,12660,211,211,211,2,27009.7,27009.7,100,100,22099.4,32258.1,211,211,1,Reconnaissance,Service_Scan
3595297,1526344333,e,1,tcp,1,192.168.100.150,36663,192.168.100.3,5900,2,120,RST,1,1526344333,129,6.30E-05,6.30E-05,0,6.30E-05,6.30E-05,6.30E-05,1,1,60,60,15873.01563,0,0,12660,12660,211,211,211,2,27009.7,27009.7,100,100,22099.4,31746,211,211,1,Reconnaissance,Service_Scan
3595298,1526344333,e,1,tcp,1,192.168.100.150,36663,192.168.100.3,22,3,180,RST,1,1526344333,130,8.30E-05,8.30E-05,0,8.30E-05,8.30E-05,8.30E-05,2,1,120,60,24096.38672,12048.19336,0,12660,12660,211,211,211,3,27009.7,27009.7,100,100,22099.4,36144.6,211,211,1,Reconnaissance,Service_Scan
3595299,1526344333,e,1,tcp,1,192.168.100.150,36663,192.168.100.3,25,3,180,RST,1,1526344333,131,0.000111,0.000111,0,0.000111,0.000111,0.000111,2,1,120,60,18018.01758,9009.008789,0,12660,12660,211,211,211,3,27009.7,27009.7,100,100,22099.4,27027,211,211,1,Reconnaissance,Service_Scan
3595300,1526344333,e,1,tcp,1,192.168.100.150,36663,192.168.100.3,8888,2,120,RST,1,1526344333,132,7.00E-06,7.00E-06,0,7.00E-06,7.00E-06,7.00E-06,1,1,60,60,142857.1406,0,0,12660,12660,211,211,211,2,27009.7,27009.7,100,100,22099.4,285714,211,211,1,Reconnaissance,Service_Scan
3595301,1526344333,e,1,tcp,1,192.168.100.150,36663,192.168.100.3,179,2,120,RST,1,1526344333,133,3.00E-05,3.00E-05,0,3.00E-05,3.00E-05,3.00E-05,1,1,60,60,33333.33594,0,0,12120,12120,202,202,202,2,41555.2,41555.2,100,100,41555.2,66666.7,202,202,1,Reconnaissance,Service_Scan
3595302,1526344333,e,1,tcp,1,192.168.100.150,36663,192.168.100.3,4002,2,120,RST,1,1526344333,134,4.50E-05,4.50E-05,0,4.50E-05,4.50E-05,4.50E-05,1,1,60,60,22222.22266,0,0,12120,12120,202,202,202,2,41555.2,41555.2,100,100,41555.2,44444.4,202,202,1,Reconnaissance,Service_Scan
