pkSeqID,stime,flgs,flgs_number,proto,proto_number,saddr,sport,daddr,dport,pkts,bytes,state,state_number,ltime,seq,dur,mean,stddev,sum,min,max,spkts,dpkts,sbytes,dbytes,rate,srate,drate,TnBPSrcIP,TnBPDstIP,TnP_PSrcIP,TnP_PDstIP,TnP_PerProto,TnP_Per_Dport,AR_P_Proto_P_SrcIP,AR_P_Proto_P_DstIP,N_IN_Conn_P_DstIP,N_IN_Conn_P_SrcIP,AR_P_Proto_P_Sport,AR_P_Proto_P_Dport,Pkts_P_State_P_Protocol_P_DestIP,Pkts_P_State_P_Protocol_P_SrcIP,attack,category,subcategory
1,1528088522,e,1,tcp,1,192.168.100.147,49960,192.168.100.7,80,8,1980,RST,1,1528088529,9,7.056393,0.068909,0.068909,0.137818,0,0.137818,5,3,650,1330,0.992008,0.566862,14.511893,157426,201841,602,770,772,772,1.14297,1.12704,96,75,1.13372,1.12997,770,602,1,DoS,HTTP
2,1528088522,e,1,arp,2,192.168.100.7,-1,192.168.100.147,-1,2,120,CON,2,1528088522,10,0.000131,0.000131,0,0.000131,0.000131,0.000131,1,1,60,60,7633.588379,0,0,360,120,6,2,8,8,0.00385682,15267.2,1,2,0.00514243,0.00514243,2,6,1,DoS,HTTP
3,1528088522,e,1,tcp,1,192.168.100.147,49962,192.168.100.7,80,8,2126,RST,1,1528088529,11,7.047852,0.064494,0.064494,0.128988,0,0.128988,5,3,796,1330,0.99321,0.567549,15.505319,157426,201841,602,770,772,772,1.14297,1.12704,96,75,1.1351,1.12997,770,602,1,DoS,HTTP
4,1528088522,e,1,tcp,1,192.168.100.147,49964,192.168.100.7,80,8,2024,RST,1,1528088529,12,7.047592,0.064189,0.064189,0.128378,0,0.128378,5,3,694,1330,0.993247,0.56757,15.578993,157426,201841,602,770,772,772,1.14297,1.12704,96,75,1.13514,1.12997,770,602,1,DoS,HTTP
5,1528088522,e,1,tcp,1,192.168.100.147,49966,192.168.100.7,80,8,2319,RST,1,1528088529,13,7.046841,0.063887,0.063887,0.127774,0,0.127774,5,3,989,1330,0.993353,0.56763,15.652637,157426,201841,602,770,772,772,1.14297,1.12704,96,75,1.13526,1.12997,770,602,1,DoS,HTTP
6,1528088522,e,1,tcp,1,192.168.100.147,49968,192.168.100.7,80,8,1983,RST,1,1528088529,14,7.046596,0.063579,0.063579,0.127157,0,0.127157,5,3,653,1330,0.993387,0.56765,15.728587,157426,201841,602,770,772,772,1.14297,1.12704,96,75,1.1353,1.12997,770,602,1,DoS,HTTP
7,1528088522,e,1,tcp,1,192.168.100.147,49970,192.168.100.7,80,8,1978,RST,1,1528088529,15,7.046369,0.06306,0.06306,0.126119,0,0.126119,5,3,648,1330,0.993419,0.567668,15.858039,157426,201841,602,770,772,772,1.14297,1.12704,96,75,1.13534,1.12997,770,602,1,DoS,HTTP
8,1528088522,e,1,tcp,1,192.168.100.147,49972,192.168.100.7,80,8,2021,RST,1,1528088529,16,7.046077,0.062963,0.062963,0.125926,0,0.125926,5,3,691,1330,0.993461,0.567692,15.882343,157426,201841,602,770,772,772,1.14297,1.12704,96,75,1.13538,1.12997,770,602,1,DoS,HTTP
9,1528088522,e,1,tcp,1,192.168.100.147,49974,192.168.100.7,80,8,1996,RST,1,1528088529,17,7.045843,0.062906,0.062906,0.125812,0,0.125812,5,3,666,1330,0.993494,0.567711,15.896735,157426,201841,602,770,772,772,1.14297,1.12704,96,75,1.13542,1.12997,770,602,1,DoS,HTTP
10,1528088522,e,1,tcp,1,192.168.100.147,49976,192.168.100.7,80,8,2038,RST,1,1528088529,18,7.042116,0.061111,0.061111,0.122221,0,0.122221,5,3,708,1330,0.994019,0.568011,16.3638,157426,201841,602,770,772,772,1.14297,1.12704,96,75,1.13602,1.12997,770,602,1,DoS,HTTP
11,1528088522,e,1,tcp,1,192.168.100.147,49978,192.168.100.7,80,8,2300,RST,1,1528088529,19,7.041316,0.060784,0.060784,0.121568,0,0.121568,5,3,970,1330,0.994132,0.568076,16.451698,157426,201841,602,770,772,772,1.14297,1.12704,96,75,1.13615,1.12997,770,602,1,DoS,HTTP
12,1528088522,e,1,tcp,1,192.168.100.147,49980,192.168.100.7,80,8,2049,RST,1,1528088529,20,7.040625,0.199734,0.199734,0.399468,0,0.399468,5,3,719,1330,0.99423,0.568131,5.006659,157426,201841,602,770,772,772,1.14297,1.12704,96,75,1.13626,1.12997,770,602,1,DoS,HTTP
13,1528088522,e,1,tcp,1,192.168.100.147,49982,192.168.100.7,80,8,2014,RST,1,1528088529,21,7.040289,0.714818,0.714818,1.429635,0,1.429635,5,3,684,1330,0.994277,0.568159,1.398958,157426,201841,602,770,772,772,1.14297,1.12704,96,75,1.13632,1.12997,770,602,1,DoS,HTTP
14,1528088522,e,1,tcp,1,192.168.100.147,49984,192.168.100.7,80,8,1953,RST,1,1528088529,22,7.039958,0.714741,0.714741,1.429481,0,1.429481,5,3,623,1330,0.994324,0.568185,1.399109,157426,201841,602,770,772,772,1.14297,1.12704,96,75,1.13637,1.12997,770,602,1,DoS,HTTP
15,1528088522,e,1,tcp,1,192.168.100.147,49986,192.168.100.7,80,8,1959,RST,1,1528088529,23,7.039628,1.228209,1.228209,2.456418,0,2.456418,5,3,629,1330,0.994371,0.568212,0.814194,157426,201841,602,770,772,772,1.14297,1.12704,96,75,1.13642,1.12997,770,602,1,DoS,HTTP
16,1528088522,e,1,tcp,1,192.168.100.147,49988,192.168.100.7,80,8,2172,RST,1,1528088529,24,7.038965,1.232485,1.232485,2.46497,0,2.46497,5,3,842,1330,0.994464,0.568265,0.811369,157426,201841,602,770,772,772,1.14297,1.12704,96,75,1.13653,1.12997,770,602,1,DoS,HTTP
17,1528088522,e,1,tcp,1,192.168.100.147,49990,192.168.100.7,80,10,2264,RST,1,1528088529,25,7.038445,1.237011,1.237011,2.474022,0,2.474022,6,4,849,1415,1.278692,0.710384,1.2126,157426,201841,602,770,772,772,1.14297,1.12704,96,75,1.42077,1.12997,770,602,1,DoS,HTTP
18,1528088522,e,1,tcp,1,192.168.100.147,49992,192.168.100.7,80,8,2355,RST,1,1528088529,26,7.037633,1.237327,1.237327,2.474653,0,2.474653,5,3,1025,1330,0.994653,0.568373,0.808194,157426,201841,602,770,772,772,1.14297,1.12704,96,75,1.13675,1.12997,770,602,1,DoS,HTTP
19,1528088522,e,1,tcp,1,192.168.100.147,49994,192.168.100.7,80,8,2109,RST,1,1528088529,27,7.037182,1.751083,1.751083,3.502166,0,3.502166,5,3,779,1330,0.994716,0.568409,0.571075,157426,201841,602,770,772,772,1.14297,1.12704,96,75,1.13682,1.12997,770,602,1,DoS,HTTP
20,1528088522,e,1,tcp,1,192.168.100.147,49996,192.168.100.7,80,8,2332,RST,1,1528088529,28,7.036341,1.755295,1.755295,3.51059,0,3.51059,5,3,1002,1330,0.994835,0.568477,0.569705,157426,201841,602,770,772,772,1.14297,1.12704,96,75,1.13695,1.12997,770,602,1,DoS,HTTP
21,1528088522,e,1,tcp,1,192.168.100.147,49998,192.168.100.7,80,8,2096,RST,1,1528088529,29,7.03577,1.759441,1.759441,3.518883,0,3.518883,5,3,766,1330,0.994916,0.568523,0.568362,157426,201841,602,770,772,772,1.14297,1.12704,96,75,1.13705,1.12997,770,602,1,DoS,HTTP
22,1528088522,e,1,tcp,1,192.168.100.147,50000,192.168.100.7,80,8,2065,RST,1,1528088529,30,7.035288,1.759272,1.759272,3.518543,0,3.518543,5,3,735,1330,0.994984,0.568562,0.568417,157426,201841,602,770,772,772,1.14297,1.12704,96,75,1.13712,1.12997,770,602,1,DoS,HTTP
